,ID,area_type,availability,location,size,society,total_sqft,bath,balcony,price,coordinates,latitude,longitude
3259,3259,Super built-up  Area,19-Dec,9th Phase JP Nagar,2 BHK,,1127,2.0,1.0,50.0,"12.8682661, 77.56337479999999",12.8682661,77.56337479999999
3260,3260,Built-up  Area,Ready To Move,Indira Nagar,2 BHK,VKvenas,1210,2.0,1.0,102.0,"12.9783692, 77.6408356",12.9783692,77.6408356
3261,3261,Built-up  Area,Ready To Move,Jyothi Nagar,2 BHK,,600,2.0,1.0,23.0,"12.9568868, 77.52002089999999",12.9568868,77.52002089999999
3262,3262,Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,4190,4.0,3.0,380.0,"12.9918835, 77.7266088",12.9918835,77.7266088
3263,3263,Super built-up  Area,Ready To Move,Tata Nagar,2 BHK,Shensit,1364,2.0,2.0,70.0,"13.0551282, 77.571972",13.0551282,77.571972
3264,3264,Super built-up  Area,Ready To Move,Whitefield,4 BHK,ArsiaEx,2268,3.0,0.0,146.0,"12.9698196, 77.7499721",12.9698196,77.7499721
3265,3265,Super built-up  Area,Ready To Move,RK Layout 2nd Stage,3 BHK,,1150,2.0,2.0,77.5,"12.9182761, 77.5612254",12.9182761,77.5612254
3266,3266,Super built-up  Area,Ready To Move,Tirumanahalli,2 BHK,,1146,2.0,1.0,39.5,"13.0903553, 77.6278377",13.0903553,77.6278377
3267,3267,Built-up  Area,Ready To Move,Magadi Road,2 BHK,DSellil,1345,2.0,2.0,55.0,"12.9854559, 77.4801174",12.9854559,77.4801174
3268,3268,Super built-up  Area,Ready To Move,Mylasandra,2 BHK,Laowsba,1110,2.0,2.0,41.0,"12.8538319, 77.62065179999999",12.8538319,77.62065179999999
3269,3269,Built-up  Area,Ready To Move,Kengeri,2 BHK,VBvenal,750,2.0,1.0,36.0,"12.8996676, 77.4826837",12.8996676,77.4826837
3270,3270,Built-up  Area,Ready To Move,Motappa Layout,2 BHK,Puodse ,1156,2.0,2.0,49.5,"13.0272653, 77.6904744",13.0272653,77.6904744
3271,3271,Super built-up  Area,Ready To Move,Pattandur Agrahara,2 BHK,ARvasV ,1247,2.0,1.0,59.8,"12.9826969, 77.7403401",12.9826969,77.7403401
3272,3272,Super built-up  Area,Ready To Move,Mangammanapalya,2 BHK,,1058,2.0,2.0,60.0,"12.9027471, 77.6349979",12.9027471,77.6349979
3273,3273,Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,Baowsig,950,2.0,1.0,48.0,"12.8019332, 77.50957840000001",12.8019332,77.50957840000001
3274,3274,Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,,420,2.0,0.0,35.0,"12.8942296, 77.55186669999999",12.8942296,77.55186669999999
3275,3275,Plot  Area,Ready To Move,BTM 1st Stage,4 Bedroom,,600,2.0,2.0,90.0,"12.9199409, 77.61065119999999",12.9199409,77.61065119999999
3276,3276,Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1520,2.0,1.0,103.0,"12.975596, 77.53538809999999",12.975596,77.53538809999999
3277,3277,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1215,2.0,2.0,58.86,"12.956924, 77.701127",12.956924,77.701127
3278,3278,Built-up  Area,Ready To Move,Raghuvanahalli,1 BHK,,900,1.0,1.0,30.0,"12.8778551, 77.54259569999999",12.8778551,77.54259569999999
3279,3279,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Samittv,2350,3.0,2.0,174.0,"13.0381291, 77.6480793",13.0381291,77.6480793
3280,3280,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,,1050,2.0,2.0,46.0,"13.0559193, 77.6324513",13.0559193,77.6324513
3281,3281,Super built-up  Area,Ready To Move, Devarabeesana Halli,3 BHK,Sorisa ,1672,3.0,2.0,150.0,"12.9312787, 77.68558829999999",12.9312787,77.68558829999999
3282,3282,Plot  Area,Ready To Move,Laggere,5 Bedroom,,2800,5.0,2.0,125.0,"13.0097647, 77.5253962",13.0097647,77.5253962
3283,3283,Super built-up  Area,Ready To Move,MCECHS  layout,3 BHK,,1500,2.0,2.0,65.0,"13.0711306, 77.6287327",13.0711306,77.6287327
3284,3284,Super built-up  Area,Ready To Move,Geddalahalli,2 BHK,,1400,2.0,2.0,65.0,"13.0548149, 77.6471722",13.0548149,77.6471722
3285,3285,Plot  Area,18-May,Whitefield,4 Bedroom,Prtates,500Sq. Yards,4.0,2.0,378.0,"12.9698196, 77.7499721",12.9698196,77.7499721
3286,3286,Built-up  Area,Ready To Move,8th Phase JP Nagar,4 Bedroom,,2700,4.0,2.0,130.0,"12.8741077, 77.57917290000002",12.8741077,77.57917290000002
3287,3287,Super built-up  Area,18-May,Bommasandra,2 BHK,SSestth,920,2.0,1.0,37.46,"12.8167303, 77.6974369",12.8167303,77.6974369
3288,3288,Plot  Area,18-Feb,Sarjapur  Road,3 Bedroom,Cetattu,1200,3.0,2.0,70.0,"12.910911, 77.6844166",12.910911,77.6844166
3289,3289,Built-up  Area,Ready To Move,Brindavan Nagar,3 BHK,Mancy R,1250,3.0,2.0,139.0,"13.0348766, 77.5551353",13.0348766,77.5551353
3290,3290,Super built-up  Area,18-Mar,Hosakerehalli,3 BHK,SoageHe,1817,4.0,,153.0,"12.9221653, 77.5362561",12.9221653,77.5362561
3291,3291,Plot  Area,Ready To Move,Cooke Town,5 Bedroom,,2043,6.0,,375.0,"13.0031678, 77.6228252",13.0031678,77.6228252
3292,3292,Super built-up  Area,Ready To Move,HSR Layout,2 BHK,NRosete,1140,2.0,2.0,46.0,"12.9121181, 77.6445548",12.9121181,77.6445548
3293,3293,Built-up  Area,Ready To Move,Yelahanka,4 Bedroom,,4346,4.0,1.0,450.0,"13.1154662, 77.6069977",13.1154662,77.6069977
3294,3294,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NRowse ,1464,2.0,2.0,56.0,"12.9041501, 77.6622042",12.9041501,77.6622042
3295,3295,Super built-up  Area,Ready To Move,Ambedkar Colony,2 BHK,RMcesa ,1468,3.0,2.0,130.0,"13.0900342, 77.5920295",13.0900342,77.5920295
3296,3296,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,SNdri N,1555,2.0,1.0,82.0,"12.8443486, 77.655912",12.8443486,77.655912
3297,3297,Plot  Area,Ready To Move,Munnekollal,6 Bedroom,,1200,4.0,2.0,110.0,"12.9530189, 77.7088108",12.9530189,77.7088108
3298,3298,Built-up  Area,Ready To Move,Whitefield,2 BHK,SNadeAr,1150,2.0,0.0,55.0,"12.9698196, 77.7499721",12.9698196,77.7499721
3299,3299,Super built-up  Area,19-Oct,Kadubeesanahalli,2 BHK,,970,2.0,1.0,35.0,"12.9394137, 77.6952031",12.9394137,77.6952031
3300,3300,Super built-up  Area,18-May,Banashankari,4 BHK,,2500,4.0,3.0,95.0,"12.9254533, 77.546757",12.9254533,77.546757
3301,3301,Super built-up  Area,Ready To Move,Seetharampalya,2 BHK,Mazler ,1166,2.0,1.0,53.0,"12.9855475, 77.7122996",12.9855475,77.7122996
3302,3302,Plot  Area,Ready To Move,Konanakunte,3 Bedroom,Prasa W,2779,3.0,1.0,317.0,"12.8822193, 77.5659682",12.8822193,77.5659682
3303,3303,Super built-up  Area,Ready To Move,Electronic City,3 BHK,Palleon,1350,3.0,2.0,58.0,"12.8452145, 77.6601695",12.8452145,77.6601695
3304,3304,Built-up  Area,Ready To Move,Mariyannapalya,2 BHK,,900,2.0,3.0,46.0,"13.0538489, 77.6074398",13.0538489,77.6074398
3305,3305,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,,1300,2.0,2.0,52.0,"12.8978624, 77.58450839999999",12.8978624,77.58450839999999
3306,3306,Built-up  Area,Ready To Move,Kanaka Nagar,3 BHK,SoersTo,1190,3.0,1.0,55.0,"13.0341748, 77.60635409999999",13.0341748,77.60635409999999
3307,3307,Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,Suntsan,1495,2.0,2.0,75.0,"12.8953449, 77.61503689999999",12.8953449,77.61503689999999
3308,3308,Built-up  Area,Ready To Move,Indira Nagar,2 BHK,Riousd ,1224,2.0,2.0,105.0,"12.9783692, 77.6408356",12.9783692,77.6408356
3309,3309,Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,Mandsi ,1350,2.0,2.0,68.0,"12.9345271, 77.54352150000001",12.9345271,77.54352150000001
3310,3310,Built-up  Area,Ready To Move,Green Glen Layout,2 BHK,Mazzo P,940,2.0,1.0,56.8,"12.9269824, 77.6693608",12.9269824,77.6693608
3311,3311,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,DwntsAp,1100,2.0,1.0,55.0,"12.9148603, 77.5206395",12.9148603,77.5206395
3312,3312,Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,Sheurre,1300,2.0,2.0,61.0,"12.9138124, 77.68498679999999",12.9138124,77.68498679999999
3313,3313,Built-up  Area,Ready To Move,Palace Road,3 BHK,,1480,2.0,0.0,145.0,"12.9847384, 77.5881217",12.9847384,77.5881217
3314,3314,Super built-up  Area,Ready To Move,Hoodi,2 BHK,,1105,2.0,2.0,46.37,"12.9895552, 77.71265710000002",12.9895552,77.71265710000002
3315,3315,Plot  Area,17-Jun,Sarjapur  Road,3 Bedroom,AztheBr,2600,3.0,2.0,200.0,"12.910911, 77.6844166",12.910911,77.6844166
3316,3316,Super built-up  Area,21-Mar,Yelahanka,3 BHK,Goues A,1517,3.0,2.0,76.3,"13.1154662, 77.6069977",13.1154662,77.6069977
3317,3317,Built-up  Area,Ready To Move,Horamavu Banaswadi,6 Bedroom,,3800,8.0,0.0,200.0,"13.0103761, 77.6481944",13.0103761,77.6481944
3318,3318,Super built-up  Area,Ready To Move,Jalahalli,3 BHK,,1615,3.0,2.0,89.75,"13.0454314, 77.5478699",13.0454314,77.5478699
3319,3319,Super built-up  Area,Ready To Move,MCECHS  layout,3 BHK,,1500,3.0,2.0,65.0,"13.0711306, 77.6287327",13.0711306,77.6287327
3320,3320,Super built-up  Area,Ready To Move,Mysore Road,3 BHK,,1082,3.0,1.0,50.5,"12.910397, 77.484109",12.910397,77.484109
3321,3321,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Vaoodar,1365,2.0,2.0,73.0,"12.956924, 77.701127",12.956924,77.701127
3322,3322,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,1000,2.0,3.0,25.0,"12.8452145, 77.6601695",12.8452145,77.6601695
3323,3323,Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Pu270a ,1392,2.0,1.0,98.0,"12.9855332, 77.663772",12.9855332,77.663772
3324,3324,Super built-up  Area,18-Apr,Kodigehalli,2 BHK,,1086,2.0,1.0,33.66,"13.0697279, 77.5787819",13.0697279,77.5787819
3325,3325,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,ChionCo,1586,3.0,3.0,93.94,"13.0381291, 77.6480793",13.0381291,77.6480793
3326,3326,Built-up  Area,Ready To Move,Hennur,2 BHK,,1100,2.0,1.0,60.0,"13.0359337, 77.64314759999999",13.0359337,77.64314759999999
3327,3327,Super built-up  Area,18-May,Electronic City Phase II,2 BHK,Sryalan,1065,2.0,1.0,30.75,"12.8441489, 77.6793813",12.8441489,77.6793813
3328,3328,Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,1500,2.0,1.0,120.0,"13.0190631, 77.7037131",13.0190631,77.7037131
3329,3329,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1575,2.0,2.0,120.0,"12.8978624, 77.58450839999999",12.8978624,77.58450839999999
3330,3330,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,,1975,3.0,3.0,123.0,"13.0381291, 77.6480793",13.0381291,77.6480793
3331,3331,Super built-up  Area,Ready To Move,Nelamangala,2 BHK,,820,2.0,2.0,24.0,"13.097301, 77.38563979999999",13.097301,77.38563979999999
3332,3332,Super built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,1745,3.0,2.0,110.0,"12.8870638, 77.5433122",12.8870638,77.5433122
3333,3333,Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,SVdhaig,1223,2.0,1.0,60.0,"12.9719321, 77.512749",12.9719321,77.512749
3334,3334,Super built-up  Area,Ready To Move,Ananth Nagar,3 BHK,,1200,2.0,1.0,65.0,"12.8389444, 77.6898209",12.8389444,77.6898209
3335,3335,Super built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,Niine J,1200,2.0,0.0,90.0,"12.9879576, 77.5374662",12.9879576,77.5374662
3336,3336,Super built-up  Area,19-Dec,Binny Pete,1 BHK,She 2rk,665,1.0,1.0,46.08,"12.967566, 77.5583595",12.967566,77.5583595
3337,3337,Super built-up  Area,Ready To Move,Bharathi Nagar,2 BHK,FoapeWa,1351,2.0,2.0,70.0,"13.0149699, 77.72160079999999",13.0149699,77.72160079999999
3338,3338,Super built-up  Area,18-Dec,Hebbal,3 BHK,Magiaya,1355,3.0,1.0,83.87,"13.0353557, 77.59878739999999",13.0353557,77.59878739999999
3339,3339,Built-up  Area,Ready To Move,Sector 7 HSR Layout,3 BHK,,3900,3.0,2.0,300.0,"12.9081016, 77.6350959",12.9081016,77.6350959
3340,3340,Super built-up  Area,18-Nov,Thanisandra,3 BHK,,1588,3.0,1.0,75.55,"13.0559193, 77.6324513",13.0559193,77.6324513
3341,3341,Carpet  Area,Ready To Move,Amruthahalli,2 BHK,,900,2.0,1.0,60.0,"13.0658792, 77.6042056",13.0658792,77.6042056
3342,3342,Plot  Area,Ready To Move,Bhuvaneshwari Nagar,3 Bedroom,,440,3.0,0.0,50.0,"13.0545047, 77.6036145",13.0545047,77.6036145
3343,3343,Built-up  Area,18-Feb,Harlur,4 Bedroom,,3385,4.0,,260.0,"12.8991793, 77.6669909",12.8991793,77.6669909
3344,3344,Super built-up  Area,Ready To Move,Panathur,3 BHK,Saite G,1370,2.0,2.0,75.0,"12.9355734, 77.7057495",12.9355734,77.7057495
3345,3345,Plot  Area,18-Dec,Whitefield,3 Bedroom,,1500,3.0,1.0,71.8,"12.9698196, 77.7499721",12.9698196,77.7499721
3346,3346,Super built-up  Area,Ready To Move,Pulikeshi Nagar,3 BHK,,2280,3.0,,285.0,"12.9968949, 77.609935",12.9968949,77.609935
3347,3347,Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,,1100,3.0,2.0,53.0,"12.8630149, 77.5312772",12.8630149,77.5312772
3348,3348,Built-up  Area,Ready To Move,Hoodi,2 BHK,Adion M,1247,2.0,0.0,53.0,"12.9895552, 77.71265710000002",12.9895552,77.71265710000002
3349,3349,Super built-up  Area,19-Dec,Domlur Layout,3 BHK,,2000,3.0,2.0,200.0,"12.9609857, 77.6387316",12.9609857,77.6387316
3350,3350,Super built-up  Area,18-Jul,Balagere,2 BHK,Soresea,1020.07,2.0,1.0,68.38,"12.9395989, 77.728955",12.9395989,77.728955
3351,3351,Super built-up  Area,19-Dec,Gunjur Palya,3 BHK,,1033,2.0,2.0,32.0,"12.9218247, 77.7185861",12.9218247,77.7185861
3352,3352,Built-up  Area,Ready To Move,B Narayanapura,3 BHK,Niidet ,1460,2.0,3.0,73.0,"12.9925237, 77.6808128",12.9925237,77.6808128
3353,3353,Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,,1150,2.0,2.0,52.8,"12.9878279, 77.70085089999999",12.9878279,77.70085089999999
3354,3354,Super built-up  Area,Ready To Move,Sarjapur  Road,5 BHK,Maana E,5965,5.0,,385.0,"12.910911, 77.6844166",12.910911,77.6844166
3355,3355,Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,,1141,2.0,1.0,46.0,"13.0228229, 77.6520917",13.0228229,77.6520917
3356,3356,Super built-up  Area,Ready To Move,Yelahanka,4 BHK,Niareum,2806 - 3019,6.0,0.0,125.5,"13.1154662, 77.6069977",13.1154662,77.6069977
3357,3357,Plot  Area,Ready To Move,Doddaballapur,4 Bedroom,,4200,4.0,3.0,325.0,"13.2957137, 77.53639079999999",13.2957137,77.53639079999999
3358,3358,Super built-up  Area,18-Jul,Hosa Road,3 BHK,Sosisic,1665,2.0,3.0,125.0,"12.8705558, 77.6557601",12.8705558,77.6557601
3359,3359,Super built-up  Area,18-Dec,Kanakapura,2 BHK,GoityEt,1295,2.0,2.0,64.0,"12.9427853, 77.57792649999999",12.9427853,77.57792649999999
3360,3360,Super built-up  Area,18-Aug,Haralur Road,2 BHK,SNnia E,1230,2.0,1.0,78.0,"12.9041501, 77.6622042",12.9041501,77.6622042
3361,3361,Super built-up  Area,Ready To Move,Anand Nagar,3 BHK,,1080,2.0,2.0,75.0,"13.031328, 77.5913132",13.031328,77.5913132
3362,3362,Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,Baowsig,1000,2.0,1.0,60.0,"12.8019332, 77.50957840000001",12.8019332,77.50957840000001
3363,3363,Super built-up  Area,Ready To Move,Kaval Byrasandra,3 BHK,,2400,2.0,0.0,50.0,"13.0236542, 77.60804569999999",13.0236542,77.60804569999999
3364,3364,Super built-up  Area,19-Dec,Whitefield,1 BHK,Goted U,613 - 648,1.0,0.0,32.79,"12.9698196, 77.7499721",12.9698196,77.7499721
3365,3365,Super built-up  Area,18-May,Rayasandra,3 BHK,,1708,3.0,2.0,75.0,"12.8622826, 77.6751531",12.8622826,77.6751531
3366,3366,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1697,3.0,2.0,115.0,"13.0559193, 77.6324513",13.0559193,77.6324513
3367,3367,Super built-up  Area,Ready To Move,Whitefield,4 BHK,T ZedZe,3537,5.0,3.0,210.0,"12.9698196, 77.7499721",12.9698196,77.7499721
3368,3368,Super built-up  Area,19-Mar,Hosa Road,1 BHK,Skume R,615,1.0,1.0,28.29,"12.8705558, 77.6557601",12.8705558,77.6557601
3369,3369,Built-up  Area,Ready To Move,Banashankari,3 BHK,Naashi ,1350,2.0,0.0,83.0,"12.9254533, 77.546757",12.9254533,77.546757
3370,3370,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Wiowsri,1430 - 1630,,,66.4,"12.8630149, 77.5312772",12.8630149,77.5312772
3371,3371,Super built-up  Area,19-Dec,Jalahalli,2 BHK,DSata S,1083,2.0,1.0,32.49,"13.0454314, 77.5478699",13.0454314,77.5478699
3372,3372,Super built-up  Area,Ready To Move,Gottigere,3 BHK,Srtusi ,1460,2.0,2.0,65.0,"12.856443, 77.58884479999999",12.856443,77.58884479999999
3373,3373,Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,,1084,2.0,1.0,58.0,"13.0228229, 77.6520917",13.0228229,77.6520917
3374,3374,Super built-up  Area,18-May,Bommasandra,2 BHK,SSestth,1035,2.0,1.0,41.43,"12.8167303, 77.6974369",12.8167303,77.6974369
3375,3375,Super built-up  Area,Ready To Move,Vijaya Bank Layout,3 BHK,,2400,2.0,1.0,150.0,"12.8902208, 77.6092188",12.8902208,77.6092188
3376,3376,Super built-up  Area,Ready To Move,Hosur Road,1 BHK,SLiewce,460,1.0,1.0,21.0,"12.8742148, 77.6498994",12.8742148,77.6498994
3377,3377,Super built-up  Area,Ready To Move,Narayanappa Layout,5 BHK,,950,5.0,,90.0,"13.0108459, 77.62819569999999",13.0108459,77.62819569999999
3378,3378,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Iseenst,1285,2.0,2.0,55.9,"12.9698196, 77.7499721",12.9698196,77.7499721
3379,3379,Super built-up  Area,Ready To Move,1Hanuman Nagar,19 BHK,,2000,16.0,,490.0,"12.8810102, 77.60850270000002",12.8810102,77.60850270000002
3380,3380,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1200,3.0,2.0,78.0,"12.8575579, 77.7864057",12.8575579,77.7864057
3381,3381,Built-up  Area,Ready To Move,Raghuvanahalli,2 BHK,Srncykh,1070,2.0,1.0,35.0,"12.8778551, 77.54259569999999",12.8778551,77.54259569999999
3382,3382,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1801,3.0,2.0,140.0,"13.0675728, 77.63355729999999",13.0675728,77.63355729999999
3383,3383,Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,1697,3.0,2.0,115.0,"12.9698196, 77.7499721",12.9698196,77.7499721
3384,3384,Super built-up  Area,Ready To Move,AECS Layout,2 BHK,CMoryma,1199,2.0,2.0,65.0,"12.9629354, 77.7122996",12.9629354,77.7122996
3385,3385,Super built-up  Area,Ready To Move,Iblur Village,3 BHK,Emine P,2300,3.0,1.0,220.0,"12.9230803, 77.6630559",12.9230803,77.6630559
3386,3386,Super built-up  Area,Ready To Move,Mysore Road,3 BHK,,1340,2.0,3.0,64.31,"12.910397, 77.484109",12.910397,77.484109
3387,3387,Super built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,3800,4.0,3.0,205.0,"12.956924, 77.701127",12.956924,77.701127
3388,3388,Plot  Area,Ready To Move,Jigani,5 Bedroom,,600,5.0,,50.0,"12.7791043, 77.64359790000002",12.7791043,77.64359790000002
3389,3389,Super built-up  Area,Ready To Move,Wilson Garden,2 BHK,Gonoril,1125,2.0,1.0,75.0,"12.9481933, 77.59718649999999",12.9481933,77.59718649999999
3390,3390,Plot  Area,Ready To Move,Anandapura,2 Bedroom,,1200,2.0,1.0,67.0,"13.0249798, 77.6944104",13.0249798,77.6944104
3391,3391,Built-up  Area,Ready To Move,Subramanyapura,2 BHK,Srnumum,1050,2.0,3.0,41.0,"12.8988533, 77.5439045",12.8988533,77.5439045
3392,3392,Built-up  Area,Ready To Move,Nagarbhavi,2 BHK,Jaiewke,956,2.0,1.0,49.0,"12.9719321, 77.512749",12.9719321,77.512749
3393,3393,Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Sondaka,1000,2.0,2.0,30.0,"12.8575579, 77.7864057",12.8575579,77.7864057
3394,3394,Built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,Puceswn,1596,3.0,0.0,95.0,"13.0029587, 77.66776689999999",13.0029587,77.66776689999999
3395,3395,Plot  Area,Ready To Move,Kumbhena Agrahara,6 Bedroom,,1200,5.0,1.0,150.0,"13.0013193, 77.74663869999999",13.0013193,77.74663869999999
3396,3396,Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1296,2.0,3.0,89.06,"12.8630149, 77.5312772",12.8630149,77.5312772
3397,3397,Plot  Area,Ready To Move,NS Palya,6 Bedroom,,1200,7.0,,170.0,"12.9096748, 77.60686369999999",12.9096748,77.60686369999999
3398,3398,Built-up  Area,Ready To Move,Challaghatta,3 BHK,ShanaSp,1639,3.0,3.0,123.0,"12.9505711, 77.64451679999999",12.9505711,77.64451679999999
3399,3399,Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Coomee ,1219,2.0,1.0,61.25,"12.8441489, 77.6793813",12.8441489,77.6793813
3400,3400,Built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1200,3.0,1.0,50.0,"12.9069823, 77.552059",12.9069823,77.552059
3401,3401,Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,1218,2.0,1.0,73.0,"12.8741876, 77.5946855",12.8741876,77.5946855
3402,3402,Super built-up  Area,Ready To Move,Nyanappana Halli,2 BHK,,920,2.0,3.0,37.0,"12.8799403, 77.6156642",12.8799403,77.6156642
3403,3403,Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2559,3.0,2.0,141.0,"13.0250302, 77.53402419999999",13.0250302,77.53402419999999
3404,3404,Super built-up  Area,22-Dec,2nd Phase Judicial Layout,1 BHK,,525,1.0,1.0,26.0,"13.1050782, 77.5669571",13.1050782,77.5669571
3405,3405,Super built-up  Area,18-Feb,Bannerghatta Road,3 BHK,DSnjh S,1427,2.0,2.0,48.51,"12.8741876, 77.5946855",12.8741876,77.5946855
3406,3406,Super built-up  Area,18-Apr,Kothannur,3 BHK,,1270,3.0,2.0,45.0,"12.8742275, 77.5773449",12.8742275,77.5773449
3407,3407,Built-up  Area,Ready To Move,Ramagondanahalli,2 BHK,SVovelm,920,2.0,3.0,65.0,"12.9558171, 77.7409162",12.9558171,77.7409162
3408,3408,Built-up  Area,Ready To Move,Dommasandra,4 Bedroom,,2700,3.0,2.0,68.0,"12.8796531, 77.7536195",12.8796531,77.7536195
3409,3409,Super built-up  Area,Ready To Move,Indira Nagar 3rd Stage,3 BHK,,1740,3.0,2.0,199.0,"12.9783692, 77.6408356",12.9783692,77.6408356
3410,3410,Built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,,1355,2.0,,40.0,"13.0084887, 77.6737028",13.0084887,77.6737028
3411,3411,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1530,2.0,2.0,90.0,"12.8743581, 77.513787",12.8743581,77.513787
3412,3412,Carpet  Area,Ready To Move,Gokula Extension,3 BHK,,1372,2.0,1.0,90.0,"13.0409007, 77.5554935",13.0409007,77.5554935
3413,3413,Super built-up  Area,Ready To Move,Nehru Nagar,4 BHK,Undge T,2363,5.0,2.0,120.0,"12.9867602, 77.575554",12.9867602,77.575554
3414,3414,Super built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,3895,4.0,3.0,220.0,"12.956924, 77.701127",12.956924,77.701127
3415,3415,Super built-up  Area,20-Jun,Jakkur,3 BHK,SoineC ,1950,3.0,2.0,131.0,"13.0631411, 77.62067689999999",13.0631411,77.62067689999999
3416,3416,Built-up  Area,Ready To Move,Hoysalanagar,2 BHK,PNncysi,885,2.0,3.0,40.0,"13.01728, 77.6664976",13.01728,77.6664976
3417,3417,Built-up  Area,Ready To Move,Yelahanka,2 BHK,,600,2.0,2.0,27.0,"13.1154662, 77.6069977",13.1154662,77.6069977
3418,3418,Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,,1270,4.0,1.0,128.0,"12.9044382, 77.56492779999999",12.9044382,77.56492779999999
3419,3419,Plot  Area,Ready To Move,Vijayanagar,2 Bedroom,,1380,2.0,0.0,225.0,"12.975596, 77.53538809999999",12.975596,77.53538809999999
3420,3420,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,PuandHi,1339,2.0,2.0,62.0,"12.8630149, 77.5312772",12.8630149,77.5312772
3421,3421,Super built-up  Area,Ready To Move,Whitefield,2 BHK,SMuilan,1130,2.0,1.0,36.0,"12.9698196, 77.7499721",12.9698196,77.7499721
3422,3422,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1085,2.0,2.0,43.0,"12.9069823, 77.552059",12.9069823,77.552059
3423,3423,Built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,1430,3.0,2.0,72.0,"13.0250302, 77.53402419999999",13.0250302,77.53402419999999
3424,3424,Carpet  Area,18-Dec,Bhoganhalli,4 BHK,Rosha I,1451.5,4.0,1.0,121.0,"12.9257252, 77.7002566",12.9257252,77.7002566
3425,3425,Super built-up  Area,Ready To Move,Ramakrishnappa Layout,5 BHK,PeBayle,6200,5.0,,720.0,"13.0445612, 77.57268839999999",13.0445612,77.57268839999999
3426,3426,Super built-up  Area,Ready To Move,AGS Layout,3 BHK,,1490,2.0,1.0,59.6,"12.9162349, 77.5408042",12.9162349,77.5408042
3427,3427,Built-up  Area,Ready To Move,Vishwanatha Nagenahalli,4 BHK,,1650,4.0,0.0,99.0,"13.0388385, 77.6040929",13.0388385,77.6040929
3428,3428,Super built-up  Area,Ready To Move,Bellandur,2 BHK,,1286,2.0,2.0,57.0,"12.9304278, 77.678404",12.9304278,77.678404
3429,3429,Built-up  Area,Ready To Move,KR Garden,2 BHK,Saavear,925,2.0,2.0,63.0,"12.9542499, 77.65611799999999",12.9542499,77.65611799999999
